Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ярема,Соломон,Андрійович,Чоловіча,28-07-1984,Археолог,селище Острог,"набережна Ямчитського, буд. 899 кв. 300, Південне, 58634",010 843-30-82,babenkoolha@example.com
Колодуб,Онисим,Іванович,Чоловіча,05-10-1940,Агроном,село Таврійськ,"шосе Київське, буд. 648, Малин, 90848",+380 (06) 709-82-16,myroslav72@example.org
Зінченко,Омелян,Григорович,Чоловіча,15-03-1954,Археолог,село Прилуки,"вулиця Архітекторська, буд. 770, Хрестівка, 38878",094 55 15,boleslavvatamaniuk@example.com
Аврамчук,Мілена,Григорівна,Жіноча,23-07-1970,Науковець,село Ічня,"провулок Ризька, буд. 8 кв. 343, Конотоп, 23102",910-57-47,eshapoval@example.org
Гайдай,Мирослав,Васильович,Чоловіча,07-05-1945,Художник,хутір Золотоноша,"площа Морехідна, буд. 461, Севастополь, 46908",+380 27 010-66-09,mykolai43@example.org
Петлюра,Олег,Сергійович,Чоловіча,09-02-1986,Краєзнавець,місто Скадовськ,"проспект Парковий, буд. 330, Моршин, 60995",091 364 53 74,zhadanvira@example.net
Вітер,Йосип,Романович,Чоловіча,28-11-1960,Стоматолог,хутір Збараж,"сквер Гетьманський, буд. 92 кв. 9, Біляївка, 89229",066 080-06-18,marusiaovsiienko@example.org
Макогон,Спас,Іванович,Чоловіча,15-01-1994,Паралегал,хутір Рахів,"проспект Садовий, буд. 851 кв. 2, Довжанськ, 37544",+380 52 487-04-46,ievdokymenkovalentyna@example.com
Давиденко,Варфоломій,Максимович,Чоловіча,22-12-1988,Клавішник,село Остер,"набережна 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 011, Заліщики, 57082",176-57-68,pavlopetryk@example.org
Ґерета,Давид,Олександрович,Чоловіча,21-04-1980,Правник,село Дніпро,"провулок Донецька, буд. 155 кв. 701, Миколаївка, 66724",+380 55 528-84-62,demianbevz@example.net
Козаченко,Соломія,Михайлівна,Жіноча,27-12-1982,Кінорежисер,село Кілія,"площа Патріотична, буд. 01 кв. 0, Красилів, 41574",088 758-93-18,davymukahryhorii@example.org
Тригуб,Вадим,Павлович,Чоловіча,01-11-2004,Геофізик,село Хрестівка,"шосе Василя Фащенка, буд. 577 кв. 047, Добропілля, 49994",008 396 50 03,olesartiushenko@example.org
Атаманюк,Альбіна,Володимирівна,Жіноча,25-04-1980,Географ,хутір Вишгород,"проспект Улицька, буд. 73 кв. 037, Середина-Буда, 75960",+380 83 004-58-82,pavlo40@example.com
Балабан,Лесь,Тарасович,Чоловіча,28-11-1985,Публіцист,село Роздільна,"площа Лазурний 3-й, буд. 91 кв. 89, Зіньків, 28389",771-53-87,smykalevtyn@example.org
Засенко,Панас,Євгенович,Чоловіча,02-05-1987,Драматург,селище Рожище,"узвіз Решата Аметова, буд. 707 кв. 297, Лиман, 81539",228-29-92,iustyna47@example.com
Артеменко,Зорян,Юрійович,Чоловіча,23-07-1939,Кухар,село Герца,"проспект Солонцюватий 1-й, буд. 29, Коростень, 05650",870 10 93,artem71@example.org
Захарченко,Наталія,Олександрівна,Жіноча,24-08-1947,Педагог,село Роздільна,"провулок Лінія 44-та, буд. 753, Іршава, 86418",+380 53 769-37-75,parmenkorzh@example.net
Вергун,Оксана,Петрівна,Жіноча,05-02-1962,Астрофізик,село Белз,"провулок Тарутинська, буд. 73, Дрогобич, 81338",+380 25 534-00-94,ivan87@example.org
Адамчук,Василина,Сергіївна,Жіноча,11-09-1953,Астрофізик,місто Тетіїв,"провулок Багринова, буд. 907 кв. 19, Татарбунари, 24449",300 38 30,tverdokhlibeduard@example.com
Шухевич,Клавдія,Павлівна,Жіноча,18-07-1960,Астроном,місто Гуляйполе,"площа Суперфосфатна, буд. 02, Лохвиця, 43718",005 807-83-57,fartushniakartem@example.com
Даньків,Вікторія,Олегівна,Жіноча,02-03-1967,Сценарист,село Перечин,"парк Академіка Векслера, буд. 952, Херсон, 98197",+380 83 883 78 78,driaboshapka@example.org
Масляк,Трохим,Максимович,Чоловіча,11-04-1952,Мікробіолог,селище Рубіжне,"парк Вапняний 2-й, буд. 972 кв. 44, Вовчанськ, 26912",821-97-29,illia53@example.net
Непорожній,Зиновій,Дмитрович,Чоловіча,22-11-2008,Інженер,місто Вільногірськ,"узвіз Баштанна, буд. 3 кв. 107, Тараща, 15764",934-85-70,vbevz@example.com
Вергун,Орися,Максимівна,Жіноча,07-05-1983,Юрист,селище Тиврів,"набережна Василя Симоненка, буд. 369 кв. 2, Прип'ять, 67310",+380 (33) 510-55-77,dpetliura@example.com
Дергач,Святослава,Василівна,Жіноча,21-02-1969,Краєзнавець,село Мукачево,"парк Чорноморського козацтва, буд. 22 кв. 331, Золотоноша, 53921",247-08-97,fesenkopetro@example.net
Корпанюк,Василина,Степанівна,Жіноча,22-08-1950,Кінокритик,місто Городок,"проспект Ширяївський, буд. 9, Святогірськ, 81534",438 47 56,satsiukleopold@example.org
Євтушок,Надія,Олександрівна,Жіноча,08-12-1981,Намотувальник,хутір Калинівка,"площа Сергія Єфремова, буд. 119, Берестечко, 56940",854-32-30,nazar00@example.com
Єрошенко,Варфоломій,Миколайович,Чоловіча,29-05-2003,Композитор,хутір Стебник,"проспект Надіїі, буд. 57, Болград, 90734",987-53-56,baklansofiia@example.com
Щириця,Охрім,Григорович,Чоловіча,24-04-1955,Намотувальник,місто Ланівці,"проспект Незалежності, буд. 17 кв. 817, Самар, 37699",+380 (41) 186-50-69,mykhailynarak@example.net
Аронець,Ігор,Миколайович,Чоловіча,19-10-1945,Дерун,місто Білопілля,"набережна Профспілкова, буд. 56 кв. 8, Середина-Буда, 56877",618-53-54,shynkarenkoodarka@example.com
Штепа,Софія,Петрівна,Жіноча,28-05-1947,Клавішник,місто Сіверськодонецьк,"набережна Мельницька, буд. 507, Українськ, 39448",017 709 39 25,dubasoksana@example.com
Зубко,Пилип,Дмитрович,Чоловіча,07-02-1995,Машиніст,хутір Яготин,"шосе Семінарська, буд. 19 кв. 862, Гребінка, 35663",480-69-55,ekopytko@example.com
Атаманюк,Микита,Євгенович,Чоловіча,17-08-1944,Бізнесмен,місто Нова Каховка,"парк Соляний 7-й, буд. 826, Куп'янськ, 80417",+380 (71) 914-63-14,illia73@example.com
Шиян,Віталій,Олександрович,Чоловіча,01-05-1977,Фармацевт,хутір Запоріжжя,"проспект Михайла Божія, буд. 9 кв. 298, Дергачі, 09587",+380 91 028 55 64,yrebryk@example.org
Іваненко,Опанас,Сергійович,Чоловіча,12-04-1948,Економіст,хутір Долинська,"шосе Академіка Богатського, буд. 0, Ланівці, 33572",+380 80 199 76 08,kmakarenko@example.com
Усик,Оксенія,Тарасівна,Жіноча,18-06-1982,Акушер,селище Золотоноша,"набережна Сумська, буд. 18 кв. 464, Харків, 44330",+380 77 104-83-77,izhakiakiv@example.com
Єресько,Анастасія,Михайлівна,Жіноча,21-04-1974,Етнограф,хутір Радивилів,"сквер Дорбуду, буд. 4, Хмельницький, 56215",+380 (24) 725-81-78,franchukalina@example.org
Атаманчук,Ярослава,Михайлівна,Жіноча,11-06-1961,Ветеринар,місто Збараж,"сквер Шевченка, буд. 1 кв. 444, Буськ, 37046",+380 74 386 77 06,khomabaklan@example.net
Бевзенко,Роксолана,Петрівна,Жіноча,24-06-1965,Євнух,селище Надвірна,"площа Берестейська, буд. 499 кв. 218, Жовті Води, 20368",446 03 75,bohuslavriabovil@example.com
Верховинець,Тетяна,Петрівна,Жіноча,28-05-1968,Краєзнавець,село Новий Буг,"вулиця Отрадна, буд. 601 кв. 09, Дубляни, 28504",321-81-06,dzhusolha@example.org
Баклан,Лукʼян,Михайлович,Чоловіча,07-05-1940,Редактор,село Горлівка,"парк Пейзажна, буд. 03 кв. 8, Болехів, 54583",+380 30 894-34-51,alevtyn11@example.com
Гаврилів,Марʼяна,Борисівна,Жіноча,04-03-2007,Круп'є,місто Бердянськ,"шосе Лесі Українки, буд. 9, Тернівка, 45993",804 27 70,avramenkomarta@example.org
Забарна,Прохір,Степанович,Чоловіча,28-07-1966,Композитор,хутір Середина-Буда,"вулиця Кобзаря, буд. 69 кв. 751, Кремінна, 37848",063 795-18-44,fastenkoviktoriia@example.com
Тарасенко,Святослава,Романівна,Жіноча,27-04-1963,Менеджер,селище Снятин,"узвіз Василя Симоненка, буд. 760, Прип'ять, 37951",362 18 74,korzhieva@example.net
Вергун,Любов,Михайлівна,Жіноча,25-10-1992,Журналіст,місто Моршин,"парк Станційна 1-ша, буд. 4 кв. 41, Алупка, 25652",+380 66 430-58-66,okhrimstus@example.com
Приймак,Леопольд,Васильович,Чоловіча,18-10-1964,Драматург,село Новоукраїнка,"парк Марсельська, буд. 535, Великі Мости, 43006",+380 85 571 30 91,aiurchuk@example.net
Джус,Людмила,Юріївна,Жіноча,15-08-1970,Модель,хутір Вільногірськ,"провулок Окружна, буд. 5 кв. 47, Глухів, 89281",+380 01 434-18-84,poltavetskostiantyn@example.net
Вернидуб,Олесь,Григорович,Чоловіча,04-09-1960,Журналіст,село Городенка,"проспект Радісний, буд. 02 кв. 222, Вільногірськ, 12537",093 656-47-64,gdutka@example.org
Шахрай,Валерій,Павлович,Чоловіча,17-07-1949,Продюсер,хутір Горлівка,"вулиця Ольгіївський узвіз, буд. 12, Добропілля, 99217",+380 46 357 54 20,stefanhaidenko@example.net
Даниленко,Володимир,Михайлович,Чоловіча,13-12-1985,Філолог,хутір Коростишів,"проспект Траса Здоров'я, буд. 94 кв. 788, Біла Церква, 07126",+380 12 067-73-93,marusia71@example.com
Шеремет,Олена,Григорівна,Жіноча,26-12-1991,Євнух,селище Бершадь,"вулиця Дев’ята, буд. 08, Сватове, 97817",+380 53 541-85-45,balabansymon@example.org
Їжакевич,Миколай,Євгенович,Чоловіча,19-09-1966,Історик,село Ананьїв,"шосе Гілельса, буд. 739, Хмільник, 54168",905 59 17,konoplenkosemen@example.org
Семенченко,Василь,Дмитрович,Чоловіча,11-10-1976,Гірник,селище Соледар,"набережна Аркадійська, буд. 883 кв. 30, Волноваха, 13541",014 595 59 96,vernyhoraartem@example.com
Власенко,Роман,Олександрович,Чоловіча,23-06-1963,Машиніст,село Брянка,"сквер Пересипська 1-ша, буд. 287, Вараш, 46304",+380 81 016-70-31,bnosachenko@example.net
Філіпенко,Гліб,Максимович,Чоловіча,15-07-1977,Журналіст,хутір Бахмут,"провулок Преображенська, буд. 763 кв. 767, Євпаторія, 40032",096 954-93-12,iustymhuzenko@example.net
Гук,Ілля,Григорович,Чоловіча,28-01-1960,Вчитель,місто Кам'янка-Бузька,"парк Пересипська 2-га, буд. 884, Очаків, 32931",+380 (60) 099-97-43,onysymakulenko@example.net
Хоменко,Михайло,Павлович,Чоловіча,04-05-1984,Мірошник,село Новгород-Сіверський,"вулиця Маршрутна, буд. 67 кв. 84, Белз, 02005",+380 08 243-30-69,nataliia15@example.net
Баранець,Ігор,Олександрович,Чоловіча,24-07-1985,Державний службовець,місто Помічна,"сквер Бахмутська, буд. 163 кв. 27, Гадяч, 15567",+380 22 479-53-42,bdankiv@example.org
Терещук,Христина,Борисівна,Жіноча,21-01-2002,Астрофізик,село Баштанка,"провулок Космонавтів, буд. 55, Сімферополь, 06050",+380 86 123-98-07,mfartushniak@example.net
Дараган,Єфрем,Петрович,Чоловіча,22-10-1958,Юрист,село Ясинувата,"парк Тіниста, буд. 4, Устилуг, 65425",+380 23 334-15-40,rvashchenko-zakharchenko@example.net
Шахрай,Аніта,Юріївна,Жіноча,01-05-1991,Агроном,хутір Залізне,"площа Овідіопольський, буд. 310, Тетіїв, 19116",+380 46 299-46-09,les13@example.net
Гаєвська,Анастасія,Юріївна,Жіноча,07-07-1960,Режисер,хутір Білопілля,"сквер Прирейкова, буд. 21 кв. 792, Гірське, 71206",000 921 32 46,svitlana66@example.org
Гаврилюк,Ліза,Романівна,Жіноча,03-01-1996,Адвокат,хутір Судова Вишня,"узвіз Героїв Небесної Сотні, буд. 92, Тальне, 86072",+380 12 998 76 94,nestor58@example.net
Власюк,Дан,Борисович,Чоловіча,26-12-1960,Геолог,селище Монастирище,"парк Шевальових, буд. 519 кв. 657, Черкаси, 65680",823 24 81,nhaida@example.net
Бабʼюк,Зиновій,Іванович,Чоловіча,07-10-1982,Стиліст,селище Інкерман,"проспект Патріотична, буд. 892 кв. 011, Авдіївка, 31368",+380 (49) 148-30-50,mykhailotovstukha@example.org
Бевзенко,Лесь,Іванович,Чоловіча,29-06-2007,Будник,місто Берестечко,"проспект Гонсіоровського, буд. 1 кв. 3, Радехів, 29064",+380 93 893-18-43,olenalahoda@example.net
Лавренко,Прохір,Максимович,Чоловіча,11-10-1967,Агроном,хутір Кадіївка,"сквер Лінія 42-га, буд. 8 кв. 5, Татарбунари, 82451",808-22-57,qvitruk@example.net
Арсенич,Богуслава,Миколаївна,Жіноча,25-06-1970,Головний меркшейдер,хутір Теребовля,"парк Тетяни Тесс, буд. 949, Чигирин, 94646",+380 (21) 174-06-05,gdankiv@example.org
Михайличенко,Мирослав,Петрович,Чоловіча,01-12-2004,Мистецтвознавець,селище Красногорівка,"вулиця Пересипський міст, буд. 1 кв. 86, Березань, 58235",432 18 13,tvanchenko@example.net
Лупій,Леопольд,Васильович,Чоловіча,15-11-1976,Графік,селище Яремче,"шосе Чорноморський 12-й, буд. 14, Марганець, 17355",050 966 98 45,unestaiko@example.net
Вернидуб,Валентин,Борисович,Чоловіча,10-03-1981,Продюсер,село Борислав,"проспект Манежна, буд. 52, Зіньків, 78819",670-63-67,shcherbanbohdanna@example.org
Чорновіл,Тарас,Петрович,Чоловіча,08-10-1954,Промисловець,село Верхівцеве,"сквер Персикова, буд. 9, Ровеньки, 14936",041 241-51-94,valentyn48@example.com
Піддубна,Іван,Сергійович,Чоловіча,24-06-1961,Науковець,селище Кропивницький,"шосе Керченський 3-й, буд. 59 кв. 432, Христинівка, 14347",789 00 60,uzakharchenko@example.org
Христенко,Андрій,Миколайович,Чоловіча,29-12-1954,Історик,село Новоселиця,"шосе Ткачова, буд. 63 кв. 53, Ясинувата, 60142",014 026 60 27,ada18@example.com
Деркач,Богданна,Олександрівна,Жіноча,27-08-1978,Електромонтажник,місто Камінь-Каширський,"сквер Фестивальний, буд. 989, Приморськ, 57063",661 38 39,hordiiandriishyn@example.net
Дрозд,Святослава,Борисівна,Жіноча,12-09-1991,Акушер,хутір Алушта,"сквер Головківська, буд. 01, Запоріжжя, 23037",+380 37 957-61-57,valeriibatih@example.com
Макогон,Федір,Васильович,Чоловіча,09-04-1997,Живописець,хутір Гайсин,"шосе Садиковська, буд. 015 кв. 79, Рені, 30546",002 107-61-45,priskarebryk@example.org
Кальченко,Юстим,Сергійович,Чоловіча,25-12-1987,Агроном,хутір Отаманівка,"вулиця Книжковий, буд. 1, Косів, 35505",025 986 39 18,kostiantyn88@example.org
Абрамчук,Дан,Андрійович,Чоловіча,25-10-2001,Літературознавець,село Трускавець,"провулок Товарний, буд. 03 кв. 7, Мукачево, 89154",573-16-95,yabramchuk@example.net
Тимченко,Христина,Іванівна,Жіноча,06-03-2008,Стоматолог,село Хуст,"проспект Михайлівська, буд. 6, Зоринськ, 68719",+380 40 183-88-09,viktor04@example.org
Худяк,Юстина,Володимирівна,Жіноча,18-05-1987,Штукатур,селище Долина,"площа Проектований 3-й, буд. 95, Шахтарськ, 02037",097 833 14 94,masliaktaras@example.com
Влох,Віктор,Михайлович,Чоловіча,28-04-1945,Головний меркшейдер,місто Угнів,"проспект 15-та ст. Великого Фонтану пляж, буд. 3 кв. 301, Бучач, 20027",+380 56 413 79 89,dmytro16@example.org
Тесленко,Надія,Степанівна,Жіноча,15-04-1949,Педагог,селище Дунаївці,"площа Дачний 2-й, буд. 575, Вишневе, 74561",+380 (66) 293-14-78,wvasylechko@example.org
Демʼяненко,Святослава,Михайлівна,Жіноча,16-12-1965,Шериф,селище Сокологірськ,"площа Толвінського, буд. 38 кв. 13, Путивль, 25760",508 24 73,alla21@example.org
Ященко,Богуслав,Володимирович,Чоловіча,20-11-1961,Головний меркшейдер,село Вишгород,"парк Дорбуду, буд. 878, Ніжин, 97382",832-22-04,arsenievtushenko@example.net
Червоненко,Амалія,Юріївна,Жіноча,17-04-1969,Письменник,хутір Щолкіне,"набережна Прохоровський, буд. 3 кв. 541, Кривий Ріг, 61337",209 37 48,kozachenkosolomiia@example.net
Василенко,Аарон,Васильович,Чоловіча,30-09-1957,Електротехнік,село Слов'янськ,"парк Перша, буд. 64 кв. 876, Шостка, 89855",037 369-81-59,varvara92@example.org
Ященко,Святослава,Василівна,Жіноча,20-06-1943,Бібліотекар,село Стебник,"узвіз Літня, буд. 721, Гадяч, 36386",051 48 37,levkoderevianko@example.org
Чередник,Алла,Дмитрівна,Жіноча,10-09-1974,Няня,місто Іловайськ,"набережна Каштанова, буд. 30, Голубівка, 29961",021 171 83 75,tdemianenko@example.com
Авраменко,Валерій,Михайлович,Чоловіча,14-02-1947,Педагог,селище Красногорівка,"парк Томатна, буд. 86, Белз, 25414",364 85 40,chumakliudmyla@example.org
Даценко,Тарас,Тарасович,Чоловіча,16-10-1958,Стропальник,місто Берестин,"узвіз Селищна, буд. 88, Ірпінь, 27196",031 043-87-36,protsenkomyron@example.org
Бабійчук,Валентина,Михайлівна,Жіноча,30-09-1970,Ріелтор,селище Біляївка,"площа Старорізнична, буд. 7, Прилуки, 06030",474-89-35,symon20@example.net
Вергун,Віталій,Олегович,Чоловіча,28-06-1976,Кінокритик,хутір Тетіїв,"провулок Соляна, буд. 8 кв. 8, Суходільськ, 26644",+380 82 709 55 21,zynoviivalenko@example.com
Сагаль,Єва,Павлівна,Жіноча,21-11-1998,Палеонтолог,хутір Ічня,"проспект Ювілейний 2-й, буд. 38 кв. 0, Карлівка, 63307",960 48 74,bohuslavpetrenko@example.net
Сагаль,Остап,Степанович,Чоловіча,04-12-1998,Графік,хутір Щастя,"узвіз Колективний, буд. 9, Гірник, 04164",+380 47 623-56-60,mariana83@example.org
Рак,Валерій,Тарасович,Чоловіча,01-12-1952,Піаніст,селище Герца,"площа Саксаганського, буд. 0 кв. 4, Новодружеськ, 29569",015 152 83 95,tereza28@example.org
Годунок,Ілля,Юрійович,Чоловіча,02-09-2006,Промисловець,хутір Белз,"узвіз Капітана Кузнецова, буд. 702 кв. 25, Глобине, 77369",+380 39 466 85 23,tsiutsiurademyd@example.com
Цісик,Мілена,Романівна,Жіноча,14-07-1952,Випробувач,місто Феодосія,"сквер Заводська, буд. 967 кв. 7, Гуляйполе, 85148",+380 06 493 21 30,syrotenkoroman@example.org
Масляк,Назар,Дмитрович,Чоловіча,23-05-1981,Драматург,хутір Рені,"площа Решата Аметова, буд. 8 кв. 362, Нове Давидково, 90957",+380 53 856 72 04,gdutka@example.org
Баранник,Артем,Михайлович,Чоловіча,15-08-1949,Актор,село Ходорів,"провулок Хімічний 3-й, буд. 552, Лубни, 35988",578-95-85,udatsiuk@example.com
Іващенко,Пріска,Степанівна,Жіноча,04-06-1999,Астрофізик,місто Перевальськ,"набережна Садова 6-та, буд. 80 кв. 524, Вознесенівка, 55052",525 34 72,havrylotelychenko@example.com
Бараник,Ігор,Миколайович,Чоловіча,29-01-1967,Хореограф,місто Балта,"вулиця Розумовський 1-й, буд. 522, Перечин, 05633",009 129-66-83,alevtynmoskal@example.com
Зубко,Мілена,Степанівна,Жіноча,14-08-1992,Гінеколог,село Вараш,"набережна Фабрична, буд. 8, Здолбунів, 49701",+380 56 340-85-38,hnosenko@example.com
Малик,Амвросій,Юрійович,Чоловіча,10-05-1966,Євнух,хутір Оріхів,"шосе Князівська, буд. 631, Монастириська, 72349",016 419 33 34,giushchenko@example.org
Яремків,Арсен,Миколайович,Чоловіча,20-08-1965,Етнограф,хутір Заліщики,"площа Кар’єрна, буд. 174 кв. 784, Умань, 64650",+380 61 644 26 79,ihnat50@example.com
Тригуб,Пармен,Олександрович,Чоловіча,20-05-1986,Математик,село Жашків,"сквер 411-ї батареї, буд. 9, Житомир, 92363",+380 (50) 891-49-81,zhuravelboryslav@example.net
Тригуб,Назар,Григорович,Чоловіча,24-11-1961,Агроном,селище Копичинці,"сквер Юннатів 2-й, буд. 39, Борзна, 72393",+380 (46) 917-24-39,efartushniak@example.net
Килимник,Гордій,Васильович,Чоловіча,30-08-1948,Геолог,хутір Нова Одеса,"набережна Дачна, буд. 447, Горлівка, 94779",044 927 61 19,davyd11@example.org
Карпенко,Аркадій,Євгенович,Чоловіча,10-07-1956,Мовознавець,селище Сорокине,"сквер Степна, буд. 26 кв. 413, Лубни, 50723",339 51 75,rostyslavchupryna@example.com
Токар,Марта,Володимирівна,Жіноча,26-09-1999,Гірник,село Полтава,"сквер Андреєвського, буд. 655 кв. 87, Гребінка, 20159",058 108 37 00,ihnat75@example.com
Рябошапка,Руслан,Васильович,Чоловіча,21-09-1957,Геолог,селище Свалява,"парк Овідіопольський, буд. 63, Кадіївка, 89630",+380 (46) 074-72-05,erikafartushniak@example.com
